experiment,seed,n,E_exact,E_learned,E_rel,L2,integral,collapse,path
A1,3,15,14.5,11.707388877868652,0.1925938704918038,1.4117622360588633,0.9950571060180664,False,outputs/Harmonic/runs/A1_seed3/mode_15/metrics.json
A1,4,15,14.5,11.763922691345215,0.18869498680376529,1.411767349833173,0.9950697422027588,False,outputs/Harmonic/runs/A1_seed4/mode_15/metrics.json
A1,0,16,15.5,12.408653259277344,0.19944172520790043,1.4084691821170718,0.9946871399879456,False,outputs/Harmonic/runs/A1_seed0/mode_16/metrics.json
A1,1,16,15.5,12.845285415649414,0.17127190866776867,1.406760972678621,0.9942327737808228,False,outputs/Harmonic/runs/A1_seed1/mode_16/metrics.json
A1,2,16,15.5,13.15216064453125,0.1514735068044257,1.389949915176016,0.9946868419647217,False,outputs/Harmonic/runs/A1_seed2/mode_16/metrics.json
A1,3,16,15.5,13.119397163391113,0.1535872797812086,1.3915187216425273,0.9946510791778564,False,outputs/Harmonic/runs/A1_seed3/mode_16/metrics.json
A1,4,16,15.5,12.435042381286621,0.197739201207302,1.4070551836254444,0.9964271783828735,False,outputs/Harmonic/runs/A1_seed4/mode_16/metrics.json
A1,0,17,16.5,13.690229415893555,0.17028912630947124,1.4020352141984234,0.9933141469955444,False,outputs/Harmonic/runs/A1_seed0/mode_17/metrics.json
A1,1,17,16.5,13.893526077270508,0.15796811652905057,1.401853152286068,0.9933067560195923,False,outputs/Harmonic/runs/A1_seed1/mode_17/metrics.json
A1,2,17,16.5,13.937087059020996,0.15532805702902114,1.4018020297678033,0.9933254718780518,False,outputs/Harmonic/runs/A1_seed2/mode_17/metrics.json
A1,3,17,16.5,13.736602783203125,0.16747861919980048,1.4021029331401862,0.9933340549468994,False,outputs/Harmonic/runs/A1_seed3/mode_17/metrics.json
A1,4,17,16.5,13.765202522277832,0.16574530168012136,1.401844407130177,0.9932472109794617,False,outputs/Harmonic/runs/A1_seed4/mode_17/metrics.json
A1,0,18,17.5,14.362894058227539,0.17926319667270182,1.3986953028069007,0.9962586760520935,False,outputs/Harmonic/runs/A1_seed0/mode_18/metrics.json
A1,1,18,17.5,14.445588111877441,0.17453782217842195,1.3967834923363438,0.9961867928504944,False,outputs/Harmonic/runs/A1_seed1/mode_18/metrics.json
A1,2,18,17.5,14.86661148071289,0.1504793439592548,1.3794920896219598,0.9945605993270874,False,outputs/Harmonic/runs/A1_seed2/mode_18/metrics.json
A1,3,18,17.5,14.546902656555176,0.1687484196254089,1.3935053300111517,0.9964141845703125,False,outputs/Harmonic/runs/A1_seed3/mode_18/metrics.json
A1,4,18,17.5,14.49845027923584,0.17151712690079937,1.3955465412250565,0.9927124381065369,False,outputs/Harmonic/runs/A1_seed4/mode_18/metrics.json
A1,0,19,18.5,15.867216110229492,0.14231264269029004,1.3854390291018988,0.9917848110198975,False,outputs/Harmonic/runs/A1_seed0/mode_19/metrics.json
A1,1,19,18.5,15.911500930786133,0.13991886860614744,1.3859856621857658,0.9918173551559448,False,outputs/Harmonic/runs/A1_seed1/mode_19/metrics.json
A1,2,19,18.5,15.716897010803223,0.1504379994160339,1.3824073445594869,0.9918360710144043,False,outputs/Harmonic/runs/A1_seed2/mode_19/metrics.json
A1,3,19,18.5,15.71257209777832,0.15067177849846103,1.3825871562177965,0.9919384717941284,False,outputs/Harmonic/runs/A1_seed3/mode_19/metrics.json
A1,4,19,18.5,15.726325035095215,0.14992837648133164,1.3833074144273938,0.991898238658905,False,outputs/Harmonic/runs/A1_seed4/mode_19/metrics.json
A1,0,20,19.5,17.022153854370117,0.12706903310921824,1.3640490985527454,0.9925715923309326,False,outputs/Harmonic/runs/A1_seed0/mode_20/metrics.json
A1,1,20,19.5,16.34406089782715,0.16184303088065077,1.3544126763346969,0.9943689107894897,False,outputs/Harmonic/runs/A1_seed1/mode_20/metrics.json
A1,2,20,19.5,16.72285270690918,0.14241780990208605,1.3632131030221704,0.992250919342041,False,outputs/Harmonic/runs/A1_seed2/mode_20/metrics.json
A1,3,20,19.5,17.009592056274414,0.12771322788335684,1.351161488455317,0.9933966994285583,False,outputs/Harmonic/runs/A1_seed3/mode_20/metrics.json
